series,episode,baker,technical,result,signature_bake,show_stopper,last_name,baker_age,baker_occupation,hometown
1,1,Annetha,2,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",Mills,30,Midwife,Essex
1,1,David,3,IN,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",Chambers,31,Entrepreneur,Milton Keynes
1,1,Edd,1,IN,Caramel Cinnamon and Banana Cake,N/A,Kimber,24,Debt collector for Yorkshire Bank,Bradford
1,1,Jasminder,NA,IN,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,Randhawa,45,Assistant Credit Control Manager,Birmingham
1,1,Jonathan,9,IN,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,Shepherd,25,Research Analyst,St Albans
1,1,Louise,NA,IN,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",Brimelow,44,Police Officer,Manchester
1,1,Miranda,8,IN,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,1,Ruth,NA,IN,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire"
1,1,Lea,10,OUT,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,Harris,51,Retired,"Midlothian, Scotland"
1,1,Mark,NA,OUT,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,Whithers,48,Bus Driver,South Wales
1,2,David,8,IN,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,Chambers,31,Entrepreneur,Milton Keynes
1,2,Edd,6,IN,Oatmeal Raisin Cookie,Pink Macarons,Kimber,24,Debt collector for Yorkshire Bank,Bradford
1,2,Jasminder,2,IN,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,Randhawa,45,Assistant Credit Control Manager,Birmingham
1,2,Jonathan,1,IN,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,Shepherd,25,Research Analyst,St Albans
1,2,Miranda,3,IN,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,2,Ruth,5,IN,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire"
1,2,Annetha,7,OUT,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,Mills,30,Midwife,Essex
1,2,Louise,4,OUT,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",Brimelow,44,Police Officer,Manchester
1,2,Lea,NA,NA,NA,NA,Harris,51,Retired,"Midlothian, Scotland"
1,2,Mark,NA,NA,NA,NA,Whithers,48,Bus Driver,South Wales
1,3,David,4,IN,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",Chambers,31,Entrepreneur,Milton Keynes
1,3,Edd,1,IN,Olive Bread,Tomato and Mozzarella,Kimber,24,Debt collector for Yorkshire Bank,Bradford
1,3,Jasminder,5,IN,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",Randhawa,45,Assistant Credit Control Manager,Birmingham
1,3,Miranda,3,IN,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns",Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,3,Ruth,2,IN,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",Clemens,31,Retail manager/Housewife,"Poynton, Cheshire"
1,3,Jonathan,6,OUT,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",Shepherd,25,Research Analyst,St Albans
1,3,Annetha,NA,NA,NA,NA,Mills,30,Midwife,Essex
1,3,Lea,NA,NA,NA,NA,Harris,51,Retired,"Midlothian, Scotland"
1,3,Louise,NA,NA,NA,NA,Brimelow,44,Police Officer,Manchester
1,3,Mark,NA,NA,NA,NA,Whithers,48,Bus Driver,South Wales
1,4,Edd,3,IN,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",Kimber,24,Debt collector for Yorkshire Bank,Bradford
1,4,Jasminder,2,IN,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",Randhawa,45,Assistant Credit Control Manager,Birmingham
1,4,Miranda,1,IN,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,4,Ruth,4,IN,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",Clemens,31,Retail manager/Housewife,"Poynton, Cheshire"
1,4,David,5,OUT,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",Chambers,31,Entrepreneur,Milton Keynes
1,4,Annetha,NA,NA,NA,NA,Mills,30,Midwife,Essex
1,4,Jonathan,NA,NA,NA,NA,Shepherd,25,Research Analyst,St Albans
1,4,Lea,NA,NA,NA,NA,Harris,51,Retired,"Midlothian, Scotland"
1,4,Louise,NA,NA,NA,NA,Brimelow,44,Police Officer,Manchester
1,4,Mark,NA,NA,NA,NA,Whithers,48,Bus Driver,South Wales
1,5,Edd,2,IN,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",Kimber,24,Debt collector for Yorkshire Bank,Bradford
1,5,Miranda,1,IN,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,5,Ruth,3,IN,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",Clemens,31,Retail manager/Housewife,"Poynton, Cheshire"
1,5,Jasminder,4,OUT,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",Randhawa,45,Assistant Credit Control Manager,Birmingham
1,5,Annetha,NA,NA,NA,NA,Mills,30,Midwife,Essex
1,5,David,NA,NA,NA,NA,Chambers,31,Entrepreneur,Milton Keynes
1,5,Jonathan,NA,NA,NA,NA,Shepherd,25,Research Analyst,St Albans
1,5,Lea,NA,NA,NA,NA,Harris,51,Retired,"Midlothian, Scotland"
1,5,Louise,NA,NA,NA,NA,Brimelow,44,Police Officer,Manchester
1,5,Mark,NA,NA,NA,NA,Whithers,48,Bus Driver,South Wales
1,6,Miranda,NA,Runner-up,Lemon Cupcake,Eliminated after signature,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,6,Ruth,NA,Runner-up,"Mint, Ginger and Blackberry Cake",NA,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire"
1,6,Edd,NA,WINNER,Cinnamon and Banana Cake,NA,Kimber,24,Debt collector for Yorkshire Bank,Bradford
1,6,Annetha,NA,NA,NA,NA,Mills,30,Midwife,Essex
1,6,David,NA,NA,NA,NA,Chambers,31,Entrepreneur,Milton Keynes
1,6,Jasminder,NA,NA,NA,NA,Randhawa,45,Assistant Credit Control Manager,Birmingham
1,6,Jonathan,NA,NA,NA,NA,Shepherd,25,Research Analyst,St Albans
1,6,Lea,NA,NA,NA,NA,Harris,51,Retired,"Midlothian, Scotland"
1,6,Louise,NA,NA,NA,NA,Brimelow,44,Police Officer,Manchester
1,6,Mark,NA,NA,NA,NA,Whithers,48,Bus Driver,South Wales
2,1,Ben,2,IN,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,Frazer,31,Graphic Designer,Northampton
2,1,Ian,10,IN,Apple and Cinnamon Cupcakes,UNKNOWN,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,1,Janet,8,IN,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,1,Jason,6,IN,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN,White,19,Civil Engineering Student,Croydon
2,1,Joanne,11,IN,NA,NA,NA,NA,NA,NA
2,1,Mary-Anne,4,IN,Banoffee Cupcakes,Chocolate and Raspberry Opera cake,Boermans,45,Housewife,"Kidderminster, Worcestershire"
2,1,Robert,3,IN,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,Billington,25,Photographer,London
2,1,Simon,9,IN,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,Blackwell,31,Rugby Coach,Norfolk
2,1,Urvashi,7,IN,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN,Roe,40,Head of Marketing,"Enfield, London"
2,1,Yasmin,5,IN,Cardamom and Pomegranate Cupcakes,UNKNOWN,Limbert,43,Childminder,"West Kirby, The Wirral"
2,1,Keith,12,OUT,Earl Grey Cupcakes,Chocolate and Sour Cream Cake,Batsford,31,House husband,"Arlesey, Bedfordshire"
2,1,Holly,1,STAR BAKER,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,Bell,31,Advertising executive,Leicester
2,1,"""Jo""",NA,NA,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake,NA,NA,NA,NA
2,2,Ben,1,IN,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,Frazer,31,Graphic Designer,Northampton
2,2,Holly,4,IN,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,Bell,31,Advertising executive,Leicester
2,2,Ian,2,IN,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,2,Janet,8,IN,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,2,Joanne,10,IN,NA,NA,NA,NA,NA,NA
2,2,Mary-Anne,9,IN,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,Boermans,45,Housewife,"Kidderminster, Worcestershire"
2,2,Robert,5,IN,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",Billington,25,Photographer,London
2,2,Urvashi,7,IN,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,Roe,40,Head of Marketing,"Enfield, London"
2,2,Yasmin,6,IN,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,Limbert,43,Childminder,"West Kirby, The Wirral"
2,2,Simon,11,OUT,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",Blackwell,31,Rugby Coach,Norfolk
2,2,Jason,3,STAR BAKER,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,White,19,Civil Engineering Student,Croydon
2,2,Keith,NA,NA,NA,NA,Batsford,31,House husband,"Arlesey, Bedfordshire"
2,2,"""Jo""",NA,NA,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,NA,NA,NA,NA
2,3,Ben,3,IN,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,Frazer,31,Graphic Designer,Northampton
2,3,Holly,6,IN,Picnic Loaf,Stilton and Walnut Rolls,Bell,31,Advertising executive,Leicester
2,3,Janet,8,IN,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,3,Jason,7,IN,Cheese and Onion Tear and Share Loaf,UNKNOWN,White,19,Civil Engineering Student,Croydon
2,3,Joanne,1,IN,NA,NA,NA,NA,NA,NA
2,3,Mary-Anne,5,IN,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns,Boermans,45,Housewife,"Kidderminster, Worcestershire"
2,3,Robert,4,IN,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,Billington,25,Photographer,London
2,3,Ian,10,OUT,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,3,Urvashi,9,OUT,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,Roe,40,Head of Marketing,"Enfield, London"
2,3,Yasmin,2,STAR BAKER,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls",Limbert,43,Childminder,"West Kirby, The Wirral"
2,3,Keith,NA,NA,NA,NA,Batsford,31,House husband,"Arlesey, Bedfordshire"
2,3,Simon,NA,NA,NA,NA,Blackwell,31,Rugby Coach,Norfolk
2,3,"""Jo""",NA,NA,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown,NA,NA,NA,NA
2,4,Janet,4,IN,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,4,Joanne,8,IN,NA,NA,NA,NA,NA,NA
2,4,Mary-Anne,2,IN,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,Boermans,45,Housewife,"Kidderminster, Worcestershire"
2,4,Robert,7,IN,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,Billington,25,Photographer,London
2,4,Yasmin,6,IN,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,Limbert,43,Childminder,"West Kirby, The Wirral"
2,4,Ben,5,OUT,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,Frazer,31,Graphic Designer,Northampton
2,4,Holly,3,STAR BAKER,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",Bell,31,Advertising executive,Leicester
2,4,Jason,1,STAR BAKER,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",White,19,Civil Engineering Student,Croydon
2,4,Ian,NA,NA,NA,NA,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,4,Keith,NA,NA,NA,NA,Batsford,31,House husband,"Arlesey, Bedfordshire"
2,4,Simon,NA,NA,NA,NA,Blackwell,31,Rugby Coach,Norfolk
2,4,Urvashi,NA,NA,NA,NA,Roe,40,Head of Marketing,"Enfield, London"
